model,model_source,model_weights,dataset,path
facebook/dinov3-vitb16-pretrain-lvd1689m,huggingface,DEFAULT,imagenet-sketch(1),cache/dissimilarity_arrays\facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(1).npy
facebook/dinov3-vitl16-pretrain-lvd1689m,huggingface,DEFAULT,imagenet-sketch(1),cache/dissimilarity_arrays\facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-sketch(1).npy
facebook/dinov3-vitb16-pretrain-lvd1689m,huggingface,DEFAULT,cifar10(0),cache/dissimilarity_arrays\facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_cifar10(0).npy
facebook/dinov3-vitl16-pretrain-lvd1689m,huggingface,DEFAULT,cifar10(0),cache/dissimilarity_arrays\facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_cifar10(0).npy
facebook/dinov3-vitb16-pretrain-lvd1689m,huggingface,DEFAULT,fgvc-aircraft(0),cache/dissimilarity_arrays\facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_fgvc-aircraft(0).npy
facebook/dinov3-vitl16-pretrain-lvd1689m,huggingface,DEFAULT,fgvc-aircraft(0),cache/dissimilarity_arrays\facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_fgvc-aircraft(0).npy
facebook/dinov3-vitb16-pretrain-lvd1689m,huggingface,DEFAULT,ILSVRC-imagenet-1k(0),cache/dissimilarity_arrays\facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_ILSVRC-imagenet-1k(0).npy
facebook/dinov3-vitl16-pretrain-lvd1689m,huggingface,DEFAULT,ILSVRC-imagenet-1k(0),cache/dissimilarity_arrays\facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_ILSVRC-imagenet-1k(0).npy
ViT-B/32,clip,DEFAULT,imagenet-sketch(1),cache/dissimilarity_arrays\ViT-B-32_DEFAULT_clip_imagenet-sketch(1).npy
ViT-B/32,clip,DEFAULT,cifar10(0),cache/dissimilarity_arrays\ViT-B-32_DEFAULT_clip_cifar10(0).npy
ViT-B/32,clip,DEFAULT,fgvc-aircraft(0),cache/dissimilarity_arrays\ViT-B-32_DEFAULT_clip_fgvc-aircraft(0).npy
ViT-B/32,clip,DEFAULT,ILSVRC-imagenet-1k(0),cache/dissimilarity_arrays\ViT-B-32_DEFAULT_clip_ILSVRC-imagenet-1k(0).npy
ViT-B/16,clip,DEFAULT,imagenet-sketch(1),cache/dissimilarity_arrays\ViT-B-16_DEFAULT_clip_imagenet-sketch(1).npy
ViT-B/16,clip,DEFAULT,cifar10(0),cache/dissimilarity_arrays\ViT-B-16_DEFAULT_clip_cifar10(0).npy
ViT-B/16,clip,DEFAULT,fgvc-aircraft(0),cache/dissimilarity_arrays\ViT-B-16_DEFAULT_clip_fgvc-aircraft(0).npy
ViT-B/16,clip,DEFAULT,ILSVRC-imagenet-1k(0),cache/dissimilarity_arrays\ViT-B-16_DEFAULT_clip_ILSVRC-imagenet-1k(0).npy
ViT-L/14,clip,DEFAULT,imagenet-sketch(1),cache/dissimilarity_arrays\ViT-L-14_DEFAULT_clip_imagenet-sketch(1).npy
ViT-L/14,clip,DEFAULT,cifar10(0),cache/dissimilarity_arrays\ViT-L-14_DEFAULT_clip_cifar10(0).npy
ViT-L/14,clip,DEFAULT,fgvc-aircraft(0),cache/dissimilarity_arrays\ViT-L-14_DEFAULT_clip_fgvc-aircraft(0).npy
ViT-L/14,clip,DEFAULT,ILSVRC-imagenet-1k(0),cache/dissimilarity_arrays\ViT-L-14_DEFAULT_clip_ILSVRC-imagenet-1k(0).npy
ViT-B-32-256,open_clip,DEFAULT,imagenet-sketch(1),cache/dissimilarity_arrays\ViT-B-32-256_DEFAULT_open_clip_imagenet-sketch(1).npy
ViT-B-32-256,open_clip,DEFAULT,cifar10(0),cache/dissimilarity_arrays\ViT-B-32-256_DEFAULT_open_clip_cifar10(0).npy
ViT-B-32-256,open_clip,DEFAULT,fgvc-aircraft(0),cache/dissimilarity_arrays\ViT-B-32-256_DEFAULT_open_clip_fgvc-aircraft(0).npy
ViT-B-32-256,open_clip,DEFAULT,ILSVRC-imagenet-1k(0),cache/dissimilarity_arrays\ViT-B-32-256_DEFAULT_open_clip_ILSVRC-imagenet-1k(0).npy
ViT-B-16,open_clip,DEFAULT,imagenet-sketch(1),cache/dissimilarity_arrays\ViT-B-16_DEFAULT_open_clip_imagenet-sketch(1).npy
ViT-B-16,open_clip,DEFAULT,cifar10(0),cache/dissimilarity_arrays\ViT-B-16_DEFAULT_open_clip_cifar10(0).npy
ViT-B-16,open_clip,DEFAULT,fgvc-aircraft(0),cache/dissimilarity_arrays\ViT-B-16_DEFAULT_open_clip_fgvc-aircraft(0).npy
ViT-B-16,open_clip,DEFAULT,ILSVRC-imagenet-1k(0),cache/dissimilarity_arrays\ViT-B-16_DEFAULT_open_clip_ILSVRC-imagenet-1k(0).npy
ViT-L-14,open_clip,DEFAULT,imagenet-sketch(1),cache/dissimilarity_arrays\ViT-L-14_DEFAULT_open_clip_imagenet-sketch(1).npy
ViT-L-14,open_clip,DEFAULT,cifar10(0),cache/dissimilarity_arrays\ViT-L-14_DEFAULT_open_clip_cifar10(0).npy
