total_images,num_classes,fst_model_source,first_model,fst_weights,second_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.4915,0.594,0.72148695837866,0.7280297,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.444,0.575,0.7364822686130237,0.74576074,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.451,0.5855,0.7366012415422265,0.7431546,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_V1,0.4875,0.6225,0.6362655982379162,0.64288974,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.455,0.659,0.6735130556232497,0.682602,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,vit_l_16,IMAGENET1K_V1,0.4735,0.643,0.6342755779710609,0.637873,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.472,0.721,0.6112865442534974,0.6243478,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,maxvit_t,IMAGENET1K_V1,0.464,0.6,0.29732758891776295,0.31660172,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,resnet18,IMAGENET1K_V1,0.4705,0.3825,0.7114657073865689,0.7188511,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,resnet50,IMAGENET1K_V1,0.4585,0.4465,0.7965731169654888,0.802726,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,resnet152,IMAGENET1K_V1,0.472,0.458,0.8084410611080635,0.8160787,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,convnext_tiny,IMAGENET1K_V1,0.477,0.596,0.7493409859301355,0.760205,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,convnext_base,IMAGENET1K_V1,0.466,0.621,0.7055030963108779,0.7192099,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,swin_t,IMAGENET1K_V1,0.4775,0.5955,0.6888730830877243,0.7021073,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,swin_v2_t,IMAGENET1K_V1,0.4545,0.574,0.7334529666857593,0.73944676,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,efficientnet_b0,IMAGENET1K_V1,0.465,0.498,0.6605227712580891,0.6762465,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,efficientnet_b4,IMAGENET1K_V1,0.4645,0.605,0.6323456105332238,0.65565366,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,efficientnet_b7,IMAGENET1K_V1,0.476,0.558,0.678016646435175,0.69261825,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.5875,0.5565,0.7039825624003164,0.7150566,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.6,0.5845,0.8526775600307978,0.8777641,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,vit_b_16,IMAGENET1K_V1,0.5985,0.6155,0.6334189134062613,0.6861373,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.6005,0.617,0.6393333116597347,0.66848755,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,vit_l_16,IMAGENET1K_V1,0.591,0.648,0.6643296645688522,0.71755236,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.5805,0.734,0.5774384863668903,0.6070104,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,maxvit_t,IMAGENET1K_V1,0.586,0.62,0.33614423523813336,0.3695663,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,resnet18,IMAGENET1K_V1,0.575,0.4135,0.6403954907999266,0.6374207,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,resnet50,IMAGENET1K_V1,0.5905,0.448,0.68004191369318,0.6798758,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,resnet152,IMAGENET1K_V1,0.5775,0.457,0.6831628387481706,0.6858318,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,convnext_tiny,IMAGENET1K_V1,0.5905,0.579,0.734798184709156,0.75986356,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,convnext_base,IMAGENET1K_V1,0.578,0.597,0.755249307258029,0.78644395,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,swin_t,IMAGENET1K_V1,0.585,0.5685,0.7190480213262188,0.7611504,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,swin_v2_t,IMAGENET1K_V1,0.5995,0.582,0.7361939772423708,0.77511686,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,efficientnet_b0,IMAGENET1K_V1,0.5915,0.4975,0.6457831596381838,0.6921728,cifar100(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,efficientnet_b4,IMAGENET1K_V1,0.5815,0.562,0.6385832908145209,0.68826145,cifar100(0)
