total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,resnet50,IMAGENET1K_V1,0.738,0.76,0.7555021475051374,0.77352136,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,resnet152,IMAGENET1K_V1,0.738,0.8255,0.7140557652190292,0.7361857,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.738,0.822,0.6728469029161914,0.69685924,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.738,0.887,0.5829880120087851,0.6142909,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.738,0.8585,0.6062165764323926,0.63466656,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.738,0.8865,0.5718081891624127,0.6027538,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_V1,0.738,0.9215,0.5854262128328035,0.59996736,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.738,0.9165,0.5171345690668395,0.55032814,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,vit_l_16,IMAGENET1K_V1,0.738,0.9105,0.5684898884890665,0.5831323,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.738,0.959,0.45273779355898747,0.4812898,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,maxvit_t,IMAGENET1K_V1,0.738,0.924,0.26198989265893446,0.3310233,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,convnext_tiny,IMAGENET1K_V1,0.738,0.891,0.4296295520648419,0.4828086,cifar10(0)
2000,10,torchvision,resnet18,IMAGENET1K_V1,torchvision,convnext_base,IMAGENET1K_V1,0.738,0.8985,0.3164394178984614,0.3554627,cifar10(0)
