model_src,model_name,model_weights,dt(subset)1,dt(subset)2,pearson,spearman
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-1(0),0.31963155,0.1425838786280134
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-3(0),0.30374464,0.1581513649025015
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-5(0),0.25278187,0.17701141286460711
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-3(0),0.894386,0.8385862432833675
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-5(0),0.6044639,0.5246357268566125
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-fog-3(0),imagenet-c-fog-5(0),0.7619828,0.7196554221958762
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-1(0),0.38966003,0.1470918356175831
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-3(0),0.37539014,0.16132368032538666
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-5(0),0.32515666,0.17343921378237562
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-3(0),0.92110664,0.8624527959668532
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-5(0),0.724015,0.6227074246185657
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-fog-3(0),imagenet-c-fog-5(0),0.84795237,0.798265988235073
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-1(0),0.42508367,0.3842904132398954
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-3(0),0.37217516,0.34316919835099113
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-5(0),0.2942294,0.27792577771809157
clip,ViT-B/32,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-3(0),0.8826232,0.8716323668609656
clip,ViT-B/32,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-5(0),0.6744143,0.6591300448287306
clip,ViT-B/32,DEFAULT,imagenet-c-fog-3(0),imagenet-c-fog-5(0),0.7883095,0.7777421293071097
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-1(0),0.3997567,0.35260842812354504
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-3(0),0.36137494,0.32630808656165583
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-5(0),0.30068776,0.27694608870883264
clip,ViT-B/16,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-3(0),0.87021524,0.8550101415905678
clip,ViT-B/16,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-5(0),0.689941,0.6651904285309131
clip,ViT-B/16,DEFAULT,imagenet-c-fog-3(0),imagenet-c-fog-5(0),0.8115026,0.7943508197903973
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-1(0),0.33222634,0.29587012159594545
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-3(0),0.30105966,0.26979716103159423
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-5(0),0.24816306,0.22103804865533475
clip,ViT-L/14,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-3(0),0.84481674,0.8211387758768462
clip,ViT-L/14,DEFAULT,imagenet-c-fog-1(0),imagenet-c-fog-5(0),0.6615023,0.62417492544547
clip,ViT-L/14,DEFAULT,imagenet-c-fog-3(0),imagenet-c-fog-5(0),0.78605974,0.7569756365414029
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-1(0),0.49938273,0.4402201514893489
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-3(0),0.44327486,0.39644987871460585
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-fog-5(0),0.35814705,0.3264267183592268
