model_src,model_name,model_weights,dt(subset)1,dt(subset)2,pearson,spearman
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.18782738,0.03554902175794554
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.28208452,0.13100497272332104
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.1377701,0.11094249550716681
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.18532373,0.028989776315601654
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),0.060001537,0.01263743839688704
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.16154356,0.12271568012453772
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.26818728,0.035575222737199756
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.3684558,0.13673383120639215
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.28201336,0.1430659201377665
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.29985693,0.02694268485720158
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),0.20627816,0.03507005091274351
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.34050146,0.16923042843371844
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.02676862,-0.0035671193926551507
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.35185745,0.3271832270910553
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.20490845,0.1999191485091167
clip,ViT-B/32,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.047976755,0.03492733368940881
clip,ViT-B/32,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),-0.0005303772,-0.0066068724819116275
clip,ViT-B/32,DEFAULT,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.20807895,0.20479437171545406
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.029989637,0.0020368649025735842
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.33441094,0.3076925878254693
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.1850838,0.17567854325770538
clip,ViT-B/16,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.027004413,0.012779085806733908
clip,ViT-B/16,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),-0.008276036,-0.00816422385371859
clip,ViT-B/16,DEFAULT,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.20818985,0.20307529007535008
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.065095186,0.03201280606172045
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.3357147,0.2952359362932173
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.16355442,0.15463480615066633
clip,ViT-L/14,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.06721308,0.04142842369629967
clip,ViT-L/14,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),0.021119086,0.012148019366436646
clip,ViT-L/14,DEFAULT,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.18149656,0.17871171232791064
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.046206784,-0.001654691931844434
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.37778434,0.34267659392442323
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.21794319,0.2025319189052588
open_clip,ViT-B-32-256,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.04418318,0.017616345990385685
open_clip,ViT-B-32-256,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),0.014370195,0.008759378283128191
open_clip,ViT-B-32-256,DEFAULT,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.2372415,0.2345227737627323
open_clip,ViT-B-16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.023525573,-0.0031802939382738035
open_clip,ViT-B-16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.29339296,0.26786802915080526
open_clip,ViT-B-16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.18232375,0.17546461600078855
open_clip,ViT-B-16,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.016587857,0.008391159205429698
open_clip,ViT-B-16,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),-0.019019743,-0.022484570230928407
open_clip,ViT-B-16,DEFAULT,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.204414,0.19941905837941062
open_clip,ViT-L-14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.052714493,0.018245075486959497
open_clip,ViT-L-14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.23737454,0.19807048568406535
open_clip,ViT-L-14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.13789818,0.1309327446780126
open_clip,ViT-L-14,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.02920498,0.015163232726014565
open_clip,ViT-L-14,DEFAULT,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),-0.006468153,-0.013118169473941838
open_clip,ViT-L-14,DEFAULT,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.14980529,0.15791897636989768
torchvision,resnet18,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.07990708,0.05182385191383981
torchvision,resnet18,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.2230369,0.18575463308247864
torchvision,resnet18,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.12167088,0.10838194937407694
torchvision,resnet18,IMAGENET1K_V1,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.047601096,0.0370797717738577
torchvision,resnet18,IMAGENET1K_V1,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),0.0012395869,-0.0034212379075206963
torchvision,resnet18,IMAGENET1K_V1,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.12998448,0.12736573871391826
torchvision,resnet50,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.105942145,0.057775955659584384
torchvision,resnet50,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.28832072,0.23469027427990938
torchvision,resnet50,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.13929567,0.12004975354863683
torchvision,resnet50,IMAGENET1K_V1,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.060406096,0.03984387828301473
torchvision,resnet50,IMAGENET1K_V1,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),0.015427439,0.005797396512275778
torchvision,resnet50,IMAGENET1K_V1,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.1787185,0.16841913460866406
torchvision,resnet152,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.10561155,0.035459334915139355
torchvision,resnet152,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.30268058,0.23685438883775076
torchvision,resnet152,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.14407668,0.11673045393857015
torchvision,resnet152,IMAGENET1K_V1,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-3(0),0.07329795,0.04103888530893217
torchvision,resnet152,IMAGENET1K_V1,imagenet-c-gaussian_noise-1(0),imagenet-c-gaussian_noise-5(0),0.017029654,0.004437329794725447
torchvision,resnet152,IMAGENET1K_V1,imagenet-c-gaussian_noise-3(0),imagenet-c-gaussian_noise-5(0),0.16431224,0.1536237728626555
torchvision,regnet_y_16gf,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-1(0),0.04871581,0.0028364394755784794
torchvision,regnet_y_16gf,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-3(0),0.2914191,0.25503822957128164
torchvision,regnet_y_16gf,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-gaussian_noise-5(0),0.13682221,0.12223784569349254
