model_src,model_name,model_weights,dt(subset)1,dt(subset)2,pearson,spearman
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-1(0),0.31310236,0.1232587812928155
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-3(0),0.30329102,0.12158834510220479
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-5(0),0.26217157,0.12450587436543867
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-3(0),0.94093657,0.8931643505778213
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-5(0),0.74571216,0.6337240589616165
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-jpeg_compression-3(0),imagenet-c-jpeg_compression-5(0),0.8027111,0.7154989411520584
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-1(0),0.38928735,0.1347324657238393
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-3(0),0.38115725,0.13307231402539849
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-5(0),0.35272753,0.12979981110569142
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-3(0),0.9660467,0.9259410360039562
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-5(0),0.86578274,0.7557352204541026
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-jpeg_compression-3(0),imagenet-c-jpeg_compression-5(0),0.8988318,0.8154202726468011
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-1(0),0.4938656,0.44230458457540966
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-3(0),0.46070305,0.4193464443658746
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-5(0),0.29669544,0.2816018090187202
clip,ViT-B/32,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-3(0),0.90483105,0.8912690734578737
clip,ViT-B/32,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-5(0),0.58133775,0.5625185490018093
clip,ViT-B/32,DEFAULT,imagenet-c-jpeg_compression-3(0),imagenet-c-jpeg_compression-5(0),0.67031205,0.6554811361686464
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-1(0),0.47826928,0.41492428697396794
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-3(0),0.4505113,0.39756867149815206
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-5(0),0.32563895,0.3003370452615258
clip,ViT-B/16,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-3(0),0.9034592,0.8840708670843103
clip,ViT-B/16,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-5(0),0.65335834,0.6239816982117548
clip,ViT-B/16,DEFAULT,imagenet-c-jpeg_compression-3(0),imagenet-c-jpeg_compression-5(0),0.7374918,0.713302433838801
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-1(0),0.39909416,0.3468357996575618
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-3(0),0.38022563,0.3292377099504165
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-5(0),0.26163453,0.22945336415697262
clip,ViT-L/14,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-3(0),0.88357794,0.8625012735470111
clip,ViT-L/14,DEFAULT,imagenet-c-jpeg_compression-1(0),imagenet-c-jpeg_compression-5(0),0.5718775,0.5362034363714685
clip,ViT-L/14,DEFAULT,imagenet-c-jpeg_compression-3(0),imagenet-c-jpeg_compression-5(0),0.6417454,0.6090032347644037
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-1(0),0.5374804,0.465323188472713
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-3(0),0.5209333,0.45102327894227967
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-jpeg_compression-5(0),0.45702305,0.41216037237062175
