model_src,model_name,model_weights,dt(subset)1,dt(subset)2,pearson,spearman
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.31398976,0.12508301395449437
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-3(0),0.28941128,0.1511554553496738
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-5(0),0.22998054,0.15589356498814558
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-3(0),0.8200478,0.7313061798831967
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-5(0),0.52574,0.4301556084091029
huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,imagenet-c-motion_blur-3(0),imagenet-c-motion_blur-5(0),0.78720963,0.7525421573167355
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.38386282,0.13010207065568793
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-3(0),0.35110256,0.1504772309598908
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-5(0),0.2825791,0.14767040624652292
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-3(0),0.84464973,0.7330737766289228
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-5(0),0.595532,0.4593405472784304
huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,imagenet-c-motion_blur-3(0),imagenet-c-motion_blur-5(0),0.8409019,0.8018810625467251
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.4581699,0.40648690052330183
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-3(0),0.32848862,0.2973255572518428
clip,ViT-B/32,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-5(0),0.22030124,0.20193030660588474
clip,ViT-B/32,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-3(0),0.7482237,0.7275453594858309
clip,ViT-B/32,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-5(0),0.46655253,0.44382602523024417
clip,ViT-B/32,DEFAULT,imagenet-c-motion_blur-3(0),imagenet-c-motion_blur-5(0),0.7290494,0.7120768117107267
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.42971236,0.37445089034629186
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-3(0),0.33119035,0.29176766242569363
clip,ViT-B/16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-5(0),0.23110348,0.2053841919754995
clip,ViT-B/16,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-3(0),0.73884517,0.7129986573062531
clip,ViT-B/16,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-5(0),0.45723826,0.4300378834328905
clip,ViT-B/16,DEFAULT,imagenet-c-motion_blur-3(0),imagenet-c-motion_blur-5(0),0.6987987,0.6750836683159881
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.35116178,0.30932880767916326
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-3(0),0.29309443,0.2601065453460877
clip,ViT-L/14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-5(0),0.22340125,0.19784238018532513
clip,ViT-L/14,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-3(0),0.72854364,0.7001995003611463
clip,ViT-L/14,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-5(0),0.49782443,0.4649979485212915
clip,ViT-L/14,DEFAULT,imagenet-c-motion_blur-3(0),imagenet-c-motion_blur-5(0),0.71429825,0.6894009702316907
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.5067546,0.4471179694524545
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-3(0),0.40813917,0.37153734060574894
open_clip,ViT-B-32-256,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-5(0),0.2913807,0.2700926670589607
open_clip,ViT-B-32-256,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-3(0),0.8301236,0.8175218094339933
open_clip,ViT-B-32-256,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-5(0),0.5944789,0.5802254565185856
open_clip,ViT-B-32-256,DEFAULT,imagenet-c-motion_blur-3(0),imagenet-c-motion_blur-5(0),0.7987672,0.786817695199641
open_clip,ViT-B-16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.361174,0.2990676130326951
open_clip,ViT-B-16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-3(0),0.25709835,0.22318407120013423
open_clip,ViT-B-16,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-5(0),0.18948044,0.17464566668285617
open_clip,ViT-B-16,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-3(0),0.6980898,0.6764135452340035
open_clip,ViT-B-16,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-5(0),0.4043746,0.387482925548479
open_clip,ViT-B-16,DEFAULT,imagenet-c-motion_blur-3(0),imagenet-c-motion_blur-5(0),0.67768306,0.6596393803873016
open_clip,ViT-L-14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.3020885,0.24559510681073773
open_clip,ViT-L-14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-3(0),0.21929196,0.17767584556389127
open_clip,ViT-L-14,DEFAULT,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-5(0),0.16128084,0.13509321903913907
open_clip,ViT-L-14,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-3(0),0.6885073,0.6641741525455507
open_clip,ViT-L-14,DEFAULT,imagenet-c-motion_blur-1(0),imagenet-c-motion_blur-5(0),0.42143118,0.39435847650377637
open_clip,ViT-L-14,DEFAULT,imagenet-c-motion_blur-3(0),imagenet-c-motion_blur-5(0),0.7055048,0.6864035189642984
torchvision,resnet18,IMAGENET1K_V1,ILSVRC-imagenet-1k(0),imagenet-c-motion_blur-1(0),0.3369994,0.280945094760414
