total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset

2000,100,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,resnet18,IMAGENET1K_V1,0.4295,0.2475,0.6069557169849734,0.6030278,fgvc-aircraft(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,resnet18,IMAGENET1K_V1,0.4295,0.2475,0.6069557169849734,0.6030278,fgvc-aircraft(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,resnet18,IMAGENET1K_V1,0.4295,0.2475,0.6069557169849734,0.6030278,fgvc-aircraft(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,resnet18,IMAGENET1K_V1,0.4295,0.2475,0.6069557169849734,0.6030278,fgvc-aircraft(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,resnet18,IMAGENET1K_V1,0.4295,0.2475,0.6069557169849734,0.6030278,fgvc-aircraft(0)
2000,10,torchvision,maxvit_t,IMAGENET1K_V1,torchvision,resnet18,IMAGENET1K_V1,0.924,0.738,0.2619898962045408,0.33102328,cifar10(0)
2000,10,torchvision,maxvit_t,IMAGENET1K_V1,torchvision,resnet18,IMAGENET1K_V1,0.924,0.738,0.2619898962045408,0.33102328,cifar10(0)
2000,10,torchvision,maxvit_t,IMAGENET1K_V1,torchvision,resnet18,IMAGENET1K_V1,0.924,0.738,0.2619898962045408,0.33102328,cifar10(0)
2000,10,torchvision,maxvit_t,IMAGENET1K_V1,torchvision,resnet18,IMAGENET1K_V1,0.9205,0.8075,0.2619898962045408,0.33102328,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,clip,ViT-B/16,DEFAULT,0.928,0.936,0.6690132184832441,0.68338674,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,clip,ViT-L/14,DEFAULT,0.928,0.97,0.5264681664223114,0.54054976,cifar10(0)
2000,10,open_clip,ViT-B-32-256,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.977,0.81,0.345199223837106,0.36460593,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,clip,ViT-B/16,DEFAULT,0.928,0.936,0.6690132184832441,0.68338674,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,clip,ViT-L/14,DEFAULT,0.928,0.97,0.5264681664223114,0.54054976,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.928,0.977,0.6825866037733718,0.6915788,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.928,0.9615,0.661534937867761,0.6746747,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.928,0.982,0.6469136358864425,0.6593509,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,0.928,0.595,0.1402934775693705,0.11984475,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.928,0.578,0.03316786493894476,0.03791001,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.928,0.81,0.32776306742019556,0.33826295,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.928,0.829,0.31171555945842006,0.3283657,cifar10(0)
2000,10,clip,ViT-B/32,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.928,0.867,0.34168425130691243,0.36099193,cifar10(0)
