total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.959,0.979,0.7173821258183657,0.7704575,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.959,0.928,0.2858086351733536,0.34196585,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.959,0.936,0.26276599851054366,0.3159082,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.959,0.97,0.17819844261645038,0.2268837,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.959,0.977,0.3619959738336785,0.46915784,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.959,0.9615,0.34710759567714516,0.44340596,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.959,0.982,0.31091466121349975,0.42005768,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.959,0.81,0.35762269346869074,0.39039433,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.959,0.829,0.3716786469903003,0.41461852,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.959,0.867,0.39915631697548987,0.4492865,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.959,0.8575,0.35360577788408204,0.39076087,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.959,0.898,0.38954840880476965,0.45197833,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.959,0.919,0.4225349699080373,0.504222,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.959,0.9035,0.3935635188224316,0.47041643,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.959,0.9215,0.45470003019267546,0.55040383,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.959,0.9405,0.46537049289982513,0.56308,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.959,0.9195,0.5057951503302471,0.58668596,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.959,0.978,0.35312583654358454,0.51585865,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.959,0.92,0.11893995528279722,0.2905834,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.959,0.9055,0.31005558316770654,0.4026421,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.959,0.917,0.14321964139644097,0.24894564,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,swin_t,IMAGENET1K_V1,0.959,0.899,0.37089526873024065,0.46304113,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,swin_v2_t,IMAGENET1K_V1,0.959,0.9,0.37690644609393076,0.46906945,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b0,IMAGENET1K_V1,0.959,0.888,0.430029885616964,0.48375306,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b4,IMAGENET1K_V1,0.959,0.916,0.2214465795539397,0.32334036,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b7,IMAGENET1K_V1,0.959,0.895,0.5023357456381555,0.54579186,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.979,0.928,0.21302390477541674,0.28672335,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.979,0.936,0.18423296092248362,0.2527326,cifar10(0)
2000,10,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.979,0.97,0.15534325191017237,0.21749066,cifar10(0)
