total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.655,0.6695,0.799339993258732,0.84243053,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.655,0.367,0.513745755973472,0.53185993,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.655,0.4455,0.5096526481276547,0.5368504,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.655,0.552,0.4819831802550296,0.52706337,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.655,0.5445,0.5870070053633415,0.6195194,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.655,0.51,0.5390098477933926,0.5656895,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.655,0.617,0.518726195908418,0.568754,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.655,0.2545,0.40013801188774084,0.4046199,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.655,0.231,0.39708444804103166,0.39673147,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.655,0.237,0.4072151113969693,0.4043267,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.655,0.254,0.3878407507729784,0.38932747,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.655,0.215,0.31812396675000565,0.33265173,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.655,0.4275,0.42827067515984485,0.43882284,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.655,0.1845,0.3167663639710752,0.33208868,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.655,0.3045,0.36496500701071777,0.36077353,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.655,0.318,0.39905684455795604,0.38966984,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.655,0.296,0.3425831593501426,0.34156588,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.655,0.3875,0.45259412693688933,0.44825456,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.655,0.1565,0.3459001130421717,0.3435957,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.655,0.252,0.3758363727739882,0.36370328,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.655,0.244,0.349908699504947,0.33767232,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,swin_t,IMAGENET1K_V1,0.655,0.25,0.35422934140571716,0.35927558,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,swin_v2_t,IMAGENET1K_V1,0.655,0.248,0.3462155056970455,0.34422973,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b0,IMAGENET1K_V1,0.655,0.3315,0.4017594067294605,0.4091012,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b4,IMAGENET1K_V1,0.655,0.2135,0.3424100867548759,0.34466285,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b7,IMAGENET1K_V1,0.655,0.328,0.3767625974229254,0.36284494,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.6695,0.367,0.40378995972634774,0.4387691,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.6695,0.4455,0.4166454527636498,0.45713612,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.6695,0.552,0.41329515821031926,0.47089472,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.6695,0.5445,0.47539467084156195,0.52401257,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.6695,0.51,0.43639353298726474,0.47676784,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.6695,0.617,0.4457957788939334,0.51548135,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.6695,0.2545,0.35077866829246646,0.36580878,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.6695,0.231,0.34072109433217157,0.35024843,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.6695,0.237,0.3533624874747598,0.35851565,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.6695,0.254,0.3204933761793013,0.33202007,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.6695,0.215,0.25926602147183847,0.27857304,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.6695,0.4275,0.35317262994190424,0.37646538,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.6695,0.1845,0.2605766869494007,0.28497776,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.6695,0.3045,0.30806287386131315,0.305454,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.6695,0.318,0.3328300420569795,0.32821652,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.6695,0.296,0.2867070555230902,0.28890625,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.6695,0.3875,0.37753711251890526,0.38663837,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.6695,0.1565,0.2813316324866106,0.274739,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.6695,0.252,0.30771720677139625,0.2939242,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.6695,0.244,0.29268636876393367,0.2736756,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,swin_t,IMAGENET1K_V1,0.6695,0.25,0.29488055121208806,0.30243632,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,swin_v2_t,IMAGENET1K_V1,0.6695,0.248,0.28539605846569155,0.28445297,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b0,IMAGENET1K_V1,0.6695,0.3315,0.3387908182857285,0.3606481,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b4,IMAGENET1K_V1,0.6695,0.2135,0.2849368573451579,0.28722763,fgvc-aircraft(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b7,IMAGENET1K_V1,0.6695,0.328,0.3135679872330159,0.30195716,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,clip,ViT-B/16,DEFAULT,0.358,0.436,0.8388210944606983,0.84980404,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,clip,ViT-L/14,DEFAULT,0.358,0.551,0.7378793639121637,0.7513851,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.358,0.5435,0.8175744496874875,0.82213116,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.358,0.5105,0.7804925706766996,0.78629696,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.358,0.614,0.6875882753412499,0.6997546,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.358,0.2475,0.5041232087761703,0.51111436,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.358,0.2455,0.5889503292261431,0.5991754,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.358,0.249,0.5786456289895514,0.58882284,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.358,0.2825,0.6282103983338344,0.6460483,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.358,0.221,0.6024582373025207,0.63572794,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.358,0.4295,0.714953494635813,0.7347878,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.358,0.185,0.6085667271528963,0.64029604,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.358,0.2965,0.6364416717891114,0.6620057,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.358,0.3175,0.6841762378427426,0.70167446,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.358,0.3,0.6348872365803521,0.6498283,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.358,0.3735,0.7181875535835451,0.7289894,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.358,0.1705,0.6113721998598132,0.6301963,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.358,0.248,0.6285531123359889,0.6349625,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.358,0.2365,0.6201537876418799,0.6230162,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,swin_t,IMAGENET1K_V1,0.358,0.261,0.6251769743605409,0.65345025,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,swin_v2_t,IMAGENET1K_V1,0.358,0.2475,0.6138698959140008,0.6421169,fgvc-aircraft(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,efficientnet_b0,IMAGENET1K_V1,0.358,0.3305,0.5964832284794618,0.60842055,fgvc-aircraft(0)
