total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.0,0.0,0.4537526828230529,0.64528245,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.0,0.0,0.29619413793766913,0.32689753,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.0,0.0,0.28705973948127217,0.34566203,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.0,0.0,0.25983477921258435,0.3332648,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.0,0.0,0.39226357819512137,0.4853973,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.0,0.0,0.27316942845205244,0.31282246,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.0,0.0,0.28639298264736246,0.32249832,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.0,0.029,0.10403306985037614,0.1531717,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.0,0.0565,0.11430895510616854,0.1703588,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.0,0.0,0.3227560561254034,0.4026875,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.0,0.0,0.2712181915626709,0.30241984,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.0,0.0,0.3338122563391772,0.50438184,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.3926140370381904,0.53265107,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.0,0.0,0.3341513780437022,0.5162499,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.0,0.0,0.2758333557075001,0.49850884,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.34070683638705634,0.52618814,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.0,0.0,0.3082400883433535,0.54287034,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.3348105011141097,0.5414777,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.0,0.0,0.026461789335917016,0.17048909,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.0,0.0,0.10100182543361037,0.21711035,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.0,0.0,-0.012657414832562944,0.08615789,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,swin_t,IMAGENET1K_V1,0.0,0.0,0.3128045747521971,0.50935525,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,swin_v2_t,IMAGENET1K_V1,0.0,0.0,0.3187864582939745,0.50261897,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b0,IMAGENET1K_V1,0.0,0.0,0.30861304410848495,0.41090646,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b4,IMAGENET1K_V1,0.0,0.0,-0.03452219827037855,0.061252296,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b7,IMAGENET1K_V1,0.0,0.0,0.21824816470622357,0.37930915,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.0,0.0,0.17618174026936106,0.22193766,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.0,0.0,0.18836598894740164,0.25854722,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.0,0.0,0.19583054055099622,0.28028032,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.0,0.0,0.28635357355563773,0.39685953,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.0,0.0,0.15582151817199377,0.21086149,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.0,0.0,0.15880034681604197,0.21294786,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.0,0.029,0.09006337831091774,0.15066414,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.0,0.0565,0.10030518484988928,0.17009747,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.0,0.0,0.2148643696642331,0.31073895,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.0,0.0,0.1802672031069462,0.2187431,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.0,0.0,0.23239370737338627,0.45536095,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.2873737168864916,0.45656806,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.0,0.0,0.2339608177067654,0.47635862,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.0,0.0,0.21575474717975485,0.47456402,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.2675830079966679,0.48418084,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.0,0.0,0.22873702987287325,0.540049,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.28392558149438213,0.53439337,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.0,0.0,0.09443631703552749,0.25092912,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.0,0.0,0.11507946771222187,0.23549545,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.0,0.0,0.084989080360158,0.1731366,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,swin_t,IMAGENET1K_V1,0.0,0.0,0.23419057725261408,0.46262392,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,swin_v2_t,IMAGENET1K_V1,0.0,0.0,0.23437046683067517,0.45024043,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b0,IMAGENET1K_V1,0.0,0.0,0.18506997691942767,0.30875945,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b4,IMAGENET1K_V1,0.0,0.0,0.05370484565848451,0.14237764,imagenet-c-jpeg_compression-5(0)
2000,100,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b7,IMAGENET1K_V1,0.0,0.0,0.20418077721916206,0.36934257,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,clip,ViT-B/16,DEFAULT,0.0,0.0,0.6960348756293674,0.7089373,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,clip,ViT-L/14,DEFAULT,0.0,0.0,0.5695392587845709,0.5910033,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.0,0.0,0.6131512366530036,0.6238787,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.0,0.0,0.6694933563598009,0.6841643,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.0,0.0,0.6460582532019484,0.6595619,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.0,0.029,0.06629694295749666,0.06809896,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.0,0.0565,0.08103683351116317,0.08518629,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.0,0.0,0.2668425604151334,0.2774531,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.0,0.0,0.298637605114561,0.30543947,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.0,0.0,0.22026855713114948,0.25212124,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.34509929370769027,0.36597273,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.0,0.0,0.24812863682884811,0.27981025,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.0,0.0,0.22640279777119457,0.27104437,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.2746766725313499,0.30797416,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.0,0.0,0.18725168745807494,0.23583879,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.2433536447016025,0.28663912,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.0,0.0,0.022786238199011252,0.059015643,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.0,0.0,0.11205219857207395,0.13564229,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.0,0.0,-0.03273022741497208,-0.0064953133,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,swin_t,IMAGENET1K_V1,0.0,0.0,0.23040124823068972,0.27005032,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,swin_v2_t,IMAGENET1K_V1,0.0,0.0,0.26370900625656707,0.28972155,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,efficientnet_b0,IMAGENET1K_V1,0.0,0.0,0.22204395411450453,0.24571551,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,efficientnet_b4,IMAGENET1K_V1,0.0,0.0,-0.06370614339610507,-0.050636344,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,efficientnet_b7,IMAGENET1K_V1,0.0,0.0,0.1371880254464743,0.17589843,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,clip,ViT-L/14,DEFAULT,0.0,0.0,0.6234144901349662,0.64733326,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.0,0.0,0.6252758979350559,0.64621884,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.0,0.0,0.8475909650406482,0.865314,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.0,0.0,0.6255005025033807,0.64828676,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.0,0.029,0.07896974966374302,0.08653908,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.0,0.0565,0.10201699012674573,0.11478617,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.0,0.0,0.24975817400388173,0.2729961,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.0,0.0,0.25067402190108506,0.26212123,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.0,0.0,0.2114753051276449,0.26902005,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.3499473613975832,0.38953373,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.0,0.0,0.23340134151858155,0.29391754,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.0,0.0,0.2405757464841826,0.307417,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.2834548706324196,0.33887497,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.0,0.0,0.18271901020515952,0.26759523,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.0,0.0,0.2689591136848261,0.33428985,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.0,0.0,0.08413949202788497,0.13973714,imagenet-c-jpeg_compression-5(0)
2000,100,clip,ViT-B/16,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.0,0.0,0.15833183759395517,0.19636627,imagenet-c-jpeg_compression-5(0)
