total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.217,0.305,0.6496749014152557,0.71645826,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.217,0.1385,0.32174958551039784,0.3744953,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.217,0.169,0.2825436473468353,0.3470071,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.217,0.2335,0.19301109725089358,0.26197258,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.217,0.2275,0.32681433258210274,0.406776,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.217,0.2,0.2700048910720106,0.3461794,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.217,0.254,0.21582862301585934,0.28453502,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.217,0.086,0.35619971824011265,0.37711355,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.217,0.101,0.3577252812243972,0.38402346,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.217,0.126,0.37741658253395727,0.40606114,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.217,0.1035,0.39002532649104316,0.3784373,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.217,0.0955,0.455727214155925,0.45640576,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.217,0.277,0.46791668215556775,0.5514567,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.217,0.095,0.4747193300203806,0.46354955,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.217,0.1555,0.4457783354747967,0.45020175,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.217,0.2535,0.48047283223433335,0.5426998,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.217,0.142,0.43439713060155605,0.43823257,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.217,0.435,0.3271028315804611,0.4906549,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.217,0.2055,-0.052366568570355765,0.027384084,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.217,0.146,0.20317994556017202,0.2630331,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.217,0.1915,0.01540811208368455,0.06143375,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,swin_t,IMAGENET1K_V1,0.217,0.1445,0.4204530902535214,0.43881714,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,swin_v2_t,IMAGENET1K_V1,0.217,0.1375,0.42099520818545905,0.42789853,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b0,IMAGENET1K_V1,0.217,0.1075,0.416211789066092,0.43981928,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b4,IMAGENET1K_V1,0.217,0.1775,-0.028026111738003644,0.033450298,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,efficientnet_b7,IMAGENET1K_V1,0.217,0.1605,0.3938845241487644,0.42390165,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.305,0.1385,0.31730976524092064,0.35754701,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.305,0.169,0.3241613124586727,0.37454945,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.305,0.2335,0.2656651939243755,0.32210743,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.305,0.2275,0.3154273717484169,0.38344496,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.305,0.2,0.2540279276693278,0.3119739,imagenet-sketch(1)
2000,1000,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.305,0.254,0.20738137387658462,0.24610597,imagenet-sketch(1)
