total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.93,0.9815,0.18578907399346864,0.4269826,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.9065,0.91,0.72719235121817,0.7775371,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.9265,0.972,0.34264287381800074,0.50899637,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,resnet18,IMAGENET1K_V1,0.917,0.774,0.7723617396039472,0.7945514,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,resnet50,IMAGENET1K_V1,0.924,0.8685,0.8185548334583153,0.8439053,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,resnet152,IMAGENET1K_V1,0.9275,0.873,0.8233186646556417,0.85149854,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,convnext_tiny,IMAGENET1K_V1,0.896,0.947,0.27158345581171195,0.43595746,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,convnext_base,IMAGENET1K_V1,0.8895,0.9835,0.18166103409371587,0.3993742,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_V1,0.8995,0.9625,0.03976476310767334,0.29887614,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.887,0.9625,0.3244478294762555,0.46855608,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,vit_l_16,IMAGENET1K_V1,0.9065,0.988,0.030937020013834925,0.33766776,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.888,0.948,0.3859262557737351,0.50298923,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,maxvit_t,IMAGENET1K_V1,0.906,0.9835,0.09279989896442911,0.108459055,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,swin_t,IMAGENET1K_V1,0.8995,0.94,0.11876247133759428,0.355554,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,swin_v2_t,IMAGENET1K_V1,0.9285,0.9565,0.18040072942380905,0.40769157,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,efficientnet_b0,IMAGENET1K_V1,0.9235,0.892,0.21830592703691115,0.4188124,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,efficientnet_b4,IMAGENET1K_V1,0.9195,0.9755,-0.05500423027294507,0.010501479,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V1,torchvision,efficientnet_b7,IMAGENET1K_V1,0.889,0.984,0.14979508256393662,0.39165762,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.979,0.9215,0.18498509192301768,0.5056198,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,vit_b_16,IMAGENET1K_V1,0.9775,0.9635,0.18030697918355126,0.74096346,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.9785,0.9555,0.2818672336496589,0.59853685,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,resnet18,IMAGENET1K_V1,0.976,0.7765,0.1293720329251214,0.32280713,timm/mini-imagenet(0)
2000,100,torchvision,regnet_y_16gf,IMAGENET1K_V2,torchvision,resnet50,IMAGENET1K_V1,0.9815,0.8595,0.15917720619875333,0.37831214,timm/mini-imagenet(0)
