nome, url, hf_hub_id, arquitetura, num_param, escala, tipo_treinamento, dataset
aimv2_1b_patch14_224.apple_pt,,,aimv2_1b_patch14_224,1234958336,giant,TRAINING_TYPE,DATASET
aimv2_1b_patch14_224.apple_pt,,timm/aimv2_1b_patch14_224.apple_pt,aimv2_1b_patch14_224,1234958336,giant,TRAINING_TYPE,DATASET
aimv2_1b_patch14_336.apple_pt,,timm/aimv2_1b_patch14_336.apple_pt,aimv2_1b_patch14_336,1235613696,giant,TRAINING_TYPE,DATASET
aimv2_1b_patch14_448.apple_pt,,timm/aimv2_1b_patch14_448.apple_pt,aimv2_1b_patch14_448,1236531200,giant,TRAINING_TYPE,DATASET
aimv2_3b_patch14_224.apple_pt,,timm/aimv2_3b_patch14_224.apple_pt,aimv2_3b_patch14_224,2720658432,giant,TRAINING_TYPE,DATASET
aimv2_3b_patch14_336.apple_pt,,timm/aimv2_3b_patch14_336.apple_pt,aimv2_3b_patch14_336,2721641472,giant,TRAINING_TYPE,DATASET
aimv2_3b_patch14_448.apple_pt,,timm/aimv2_3b_patch14_448.apple_pt,aimv2_3b_patch14_448,2723017728,giant,TRAINING_TYPE,DATASET
aimv2_huge_patch14_224.apple_pt,,timm/aimv2_huge_patch14_224.apple_pt,aimv2_huge_patch14_224,680851968,giant,TRAINING_TYPE,DATASET
aimv2_huge_patch14_336.apple_pt,,timm/aimv2_huge_patch14_336.apple_pt,aimv2_huge_patch14_336,681343488,giant,TRAINING_TYPE,DATASET
aimv2_huge_patch14_448.apple_pt,,timm/aimv2_huge_patch14_448.apple_pt,aimv2_huge_patch14_448,682031616,giant,TRAINING_TYPE,DATASET
aimv2_large_patch14_224.apple_pt,,timm/aimv2_large_patch14_224.apple_pt,aimv2_large_patch14_224,309197824,giant,TRAINING_TYPE,DATASET
aimv2_large_patch14_224.apple_pt_dist,,timm/aimv2_large_patch14_224.apple_pt_dist,aimv2_large_patch14_224,309197824,giant,TRAINING_TYPE,DATASET
aimv2_large_patch14_336.apple_pt,,timm/aimv2_large_patch14_336.apple_pt,aimv2_large_patch14_336,309525504,giant,TRAINING_TYPE,DATASET
aimv2_large_patch14_336.apple_pt_dist,,timm/aimv2_large_patch14_336.apple_pt_dist,aimv2_large_patch14_336,309525504,giant,TRAINING_TYPE,DATASET
