total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,1000,clip,ViT-B/32,DEFAULT,clip,ViT-B/16,DEFAULT,0.109,0.1305,0.8064827655502844,0.8265837,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,clip,ViT-L/14,DEFAULT,0.109,0.186,0.6349718012985003,0.6643,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.109,0.1705,0.6566329640463613,0.67840534,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.109,0.1595,0.6498447173130228,0.6729467,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.109,0.215,0.585061121438336,0.6018359,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,0.109,0.1885,0.342384450904116,0.39054716,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.109,0.2975,0.3646162778533963,0.4074979,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.109,0.088,0.33185551306844524,0.33171806,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.109,0.091,0.3298253361956815,0.33540824,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.109,0.1295,0.33421057365324786,0.34351936,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.109,0.106,0.34020391900428243,0.31671426,imagenet-sketch(0)
2000,1000,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.109,0.1,0.36793295697925676,0.38136283,imagenet-sketch(0)
